loop_id;module;function_name;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2;binary;main;baseline.c:8-12;Innermost;52.12;0.11;0.11;0.11;0.11;0;1;
3;binary;main;baseline.c:16-17;Innermost;27.41;0.06;0.06;0.06;0.06;0;1;
4;binary;main;baseline.c:8-10;Innermost;9.27;0.02;0.02;0.02;0.02;0;1;
13;binary;main;driver.c:24-25;Innermost;1.54;0;0;0;0;0;1;
6;binary;main;baseline.c:8-12;Innermost;1.16;0;0;0;0;0;1;
7;binary;main;baseline.c:16-17;Innermost;0.77;0;0;0;0;0;1;
12;binary;main;driver.c:24-25;Innermost;0.39;0;0;0;0;0;1;
11;binary;main;baseline.c:8-10;Innermost;0.39;0;0;0;0;0;1;
9;binary;main;baseline.c:8-12;Innermost;0.39;0;0;0;0;0;1;
8;binary;main;baseline.c:8-10;Innermost;0.39;0;0;0;0;0;1;
1;binary;main;driver.c:65-65,baseline.c:8-17;InBetween;0.39;0;0;0;0;0;1;
